entity 1,relation,entity 2,sentence
Suṣeṇa5,son of,Jamadagni,Suṣeṇa5 son of Jamadagni .
Suṣeṇa8,son of,Karṇa,Suṣeṇa8 son of Karṇa  . Cf. Karṇaputra Karṇātmaja.
Suparṇa,son of,Garuḍa,Susvara a Suparṇa son of Garuḍa .
Sūta3,son of,Viśvāmitra,Sūta3 son of Viśvāmitra. b .
Sutasoma,son of,Bhīmasena,Sutasoma son of Bhīmasena  and Draupadī             . Cf. Draupadeya sg. and pl.
Sūti,son of,Viśvāmitra,Sūti son of Viśvāmitra. b .
Suvarcas1,son of,Dhṛtarāṣṭra,Suvarcas1 son of Dhṛtarāṣṭra    .
Suparṇa,son of,Garuḍa,Suvarcas4 a Suparṇa son of Garuḍa .
Karandhama,son of,Khanīnetra,Suvarcas8 = Karandhama son of Khanīnetra. d . Seeing the reverses sustained by his father  S. devoted all his energy to increase the welfare of the people. He was pious and his subjects were well pleased with him but as he was constantly engaged in virtuous deeds his treasures and vehicles became greatly reduced and the feudatory princes troubled him so that he came in great distress but they could not slay him for his power was established in righteousness at last he blew into his hand and from that there appeared a supply of forces  then he vanquished all his foes and was called Karandhama. His son Avikṣit lived in the beginning of the Tretāyuga . Cf. Karandhame.
Suvarman1,son of,Dhṛtarāṣṭra,Suvarman1 son of Dhṛtarāṣṭra    .
Suvarṇābha,son of,Śaṅkhapada,Suvarṇābha son of Śaṅkhapada. b learnt the religion of Nārāyaṇa from Śaṅkhapada.
Suparṇa,son of,Garuḍa,Suvarṇacūḍa a Suparṇa son of Garuḍa .
Suvarṇaṣṭhīvin,son of,Sṛñjaya,Suvarṇaṣṭhīvin son of Sṛñjaya  . b . Cf. Kāñcanaṣṭhīvin Svarṇaṣṭhīvin.
Suyajus,son of,Bhumanyu,Suyajus son of Bhumanyu .
Tejeyu,son of,Raudrāśva,Tejeyu son of Raudrāśva .
Suparṇa,son of,Garuḍa,Trirāva a Suparṇa son of Garuḍa .
Turvasu,son of,Yayāti,Turvasu son of Yayāti and Devayānī     .
Uccaiḥśravas2,son of,Avikṣit,Uccaiḥśravas2 son of Avikṣit .
Ugraśravas1,son of,Lomaharṣaṇa,Ugraśravas1 son of Lomaharṣaṇa and generally named  Sauti who recited the Mhbhr. to Śaunaka    . Cf. the following synonyms Laumaharṣaṇi . Lomaharṣaṇaputra . Paurāṇika q.v. Sauti Sūta Sūtaja Sutanandana Sūtaputra q.v.
Kaitavya,son of,Śakuni,Ulūka1 Kaitavya son of Śakuni             .  Cf. the following synonyms Śākuni . Kaitava . Kaitavya .
Upagahana,son of,Viśvāmitra,Upagahana son of Viśvāmitra. b .
Uttara1,son of,Virāṭa,Uttara1 son of Virāṭa         . Cf. Bhūmiñjaya Kaikeyīnandivardhana Matsya Mātsya Matsyaputra Matsyavīra Pṛthiviñjaya Vairāṭi Virāṭaputra.
Suparṇa,son of,Garuḍa,Vainateya2 a Suparṇa son of Garuḍa .
Vajra1,son of,Viśvāmitra,Vajra1 son of Viśvāmitra. b .
Suparṇa,son of,Garuḍa,Vajraviṣkambha a Suparṇa son of Garuḍa .
Vakṣogrīva,son of,Viśvāmitra,Vakṣogrīva son of Viśvāmitra. b .
Suparṇa,son of,Garuḍa,Vālmīki2 a Suparṇa son of Garuḍa .
Suparṇa,son of,Garuḍa,Vāmana3 a Suparṇa son of Garuḍa .
sūta,son of,Varuṇa,Vandi or Vandin a sūta son of Varuṇa  . Cf. Sauti.
Varcas1,son of,Soma,Varcas1 son of Soma q.v.. g . Cf. Somaputra.
Varcas3,son of,Sucetas,Varcas3 son of Sucetas. b .
Varcasvin1,son of,Varcas1,Varcasvin1 son of Varcas1 .  and attributive of Varcas according to BR.  is the name of the son of Varcas and as such father of Śiśira etc. see Varcas1. Do. = Śiva .
Variṣṭha2,son of,Manu,Variṣṭha2 son of Manu Cākṣuṣa .
Gādhi,son of,Kuśika,Vāsiṣṭha  . . Arjuna wished to hear about Vasiṣṭha. The Gandharva said Vasiṣṭha is Brahmáns spiritual son and Arundhatīs husband Kāma and Krodha who cannot be vanquished even by the immortals used to shampoo his feet. Though his wrath was excited by Viśvāmitras offence he did not yet exterminate the Kuśikas. Afflicted at the loss of his sons he did not any dreadful deed for the destruction of Viśvāmitra. He did not transgress Kṛtānta  in order to bring back his lost children from the abode of Yama. It was by obtaining him that the Ikṣvākus acquired this earth and with him as their purohita they performed many great sacrifices. Therefore acquire a fit purohita . Arjuna wished to hear of the hostility between Viśvāmitra and Vasiṣṭha. The Gandharva said This old  story of Vasiṣṭha they tell in all worlds. In Kānyakubja king Gādhi son of Kuśika had a son Viśvāmitra who with his ministers used to go a hunting. Once he arrived at the hermitage of Vasiṣṭha who offered him arghya etc. from his cow Nandinī who yielded everything desired Viśvāmitra asked Vasiṣṭha to give him Nandinī for an arbuda of kine or his king but in vain. Then he wanted to take the cow by force. She repaired to Vasiṣṭha who at first did nothing saying am a forgiving brahman but at last he said  not aban you Stay if you can Hearing this word the cow attacked Viśvāmitras troops from her tail she began to rain showers of burning coals from her tail she brought forth Pahlavas from her udders Drāviḍas and Śakas from her womb  Yavanas from her dung  Śabaras from her urine Kāñcis and from her sides Śarabhas and from the froth of her mouth Pauṇḍras Kirātas Yavanas Siṃhalas Barbaras Vaśas Civukas Pulindas Cīnas Hūṇas Keralas and other Mlecchas who attacked Viśvāmitras soldiers. Viśvāmitras troops fied but none was deprived of life. Viśvāmitra then disgusted with kṣatriya prowess set his mind on asceticism and finally became a  brahman and drank soma with Indra . Kalmāṣapāda  . Vasiṣṭha patiently bore his grief and resolved rather to sacrifice his own life than exterminate the Kauśikas. He threw himself n from the summit of Meru entered a huge fire in the forest and tied a strong weight to his neck and threw himself into the sea but all in vain and in distress of heart he returned to his hermitage . Beholding it bereft of his children he left it again and tied himself strongly with cords and flung himself into a mighty river but the stream cut those cords and cast the ṛṣi ashore whence that river was called Vipāśā. Once more he threw himself into a river flowing from Himavat but the river immediately fled in different directions and has since been known by the name of the Śatadru . He now again went towards his hermitage and was on the way addressed by Adṛśyantī the wife of Śaktri who had for twelve years borne his child in her womb. Hearing that child in the womb reciting the Vedas with the six Aṅgas Vasiṣṭha refrained from self destruction and accompanied by Adṛśyantī returned to his hermitage. One day he saw Kalmāṣapāda who would devour him Adṛśyantī was terrified but Vasiṣṭha restrained him by uttering huṃ and sprinkling him with water sanctified by mantras and freed him from his curse that had lasted twelve years. Kalmāṣapāda promised never more to insult brahmans and prevailed upon Vasiṣṭha that he accompanied him to his capital Ayodhyā and begat a son for him on the queen. Then he went back to his hermitage. After twelve years the queen tore open her womb by a stone and then was born the rājarṣi Aśmaka who founded the city of Paudanya . Parāśara .
Vasu4,son of,Jamadagni,Vasu4 son of Jamadagni .
Vasudeva,son of,Śūra,Vasudeva son of Śūra husband of Devakī etc father of Kṛṣṇa etc     . e . b . Cf. also the following synonyms Ānakadundubhi . Śauri Śūraputra Śūrasūnu Śūrasuta Śūrātmaja q.v. Yadūdvaha q.v.
Vātavega1,son of,Dhṛtarāṣṭra,Vātavega1 son of Dhṛtarāṣṭra   ʹ .
Suparṇa,son of,Garuḍa,Vātavega2 a Suparṇa son of Garuḍa .
Vāyubala,son of,Maṅkaṇaka,Vāyubala son of Maṅkaṇaka. j .
Vāyucakra,son of,Maṅkaṇaka,Vāyucakra son of Maṅkaṇaka. j .
Vāyuhan,son of,Maṅkaṇaka,Vāyuhan son of Maṅkaṇaka. j .
Vāyujvāla,son of,Maṅkaṇaka,Vāyujvāla son of Maṅkaṇaka. j .
Vāyumaṇḍala,son of,Maṅkaṇaka,Vāyumaṇḍala son of Maṅkaṇaka. j .
Vāyuretas,son of,Maṅkaṇaka,Vāyuretas son of Maṅkaṇaka. j .
Vāyuvega3,son of,Maṅkaṇaka,Vāyuvega3 son of Maṅkaṇaka. j .
Vibhūti,son of,Viśvāmitra,Vibhūti son of Viśvāmitra. b .
Suparṇa,son of,Garuḍa,Viśālākṣa3 a Suparṇa son of Garuḍa .
Viśvarūpa2,son of,Tvaṣṭṛ,Viśvarūpa2 son of Tvaṣṭṛ son  whom Indra slew with his thunderbolt Tvaṣṭṛ then created Vṛtra . b . b . Cf. Triśiras Tvaṣṭṛputra Tvāṣṭra.
Viśvāvasu2,son of,Jamadagni,Viśvāvasu2 son of Jamadagni .
Vidūratha1,son of,Kuru,Vidūratha1 son of Kuru and Śubhāṅgī .
Vijaya5,son of,Dhṛtarāṣṭra,Vijaya5 son of Dhṛtarāṣṭra   .
Vikata1,son of,Dhṛtarāṣṭra,Vikata1 son of Dhṛtarāṣṭra    . Cf. Vikaṭānana.
Vikaṭānana,son of,Dhṛtarāṣṭra,Vikaṭānana son of Dhṛtarāṣṭra . Cf. Vikaṭa.
Viṃśa,son of,Ikṣvāku,Viṃśa son of Ikṣvāku. b .
Vinda3,son of,Dhṛtarāṣṭra,Vinda3 son of Dhṛtarāṣṭra     .
Vīrabāhu1,son of,Dhṛtarāṣṭra,Vīrabāhu1 son of Dhṛtarāṣṭra     .
Virāja,son of,Avikṣit,Virāja son of Avikṣit .
Virajas2,son of,Dhṛtarāṣṭra,Virajas2 son of Dhṛtarāṣṭra  .
Virajas4,son of,Kavi,Virajas4 son of Kavi. b .
Virūpa3,son of,Aṅgiras,Virūpa3 son of Aṅgiras. b .
Suparṇa,son of,Garuḍa,Viṣṇudharman a Suparṇa son of Garuḍa .
brahman,son of,Vihavya,Vitatya a brahman son of Vihavya. b .
Viviṃśa1,son of,Dhṛtarāṣṭra,Viviṃśa1 son of Dhṛtarāṣṭra .
Vrajana,son of,Ajamīḍha,Vrajana son of Ajamīḍha .
Vṛṣasena3,son of,Karṇa,Vṛṣasena3 son of Karṇa     ʹ . Cf. Karṇaputra Karṇasuta Karṇātmaja Kārṇi.
Mhbhr,son of,Parāśara,Vyāsa a ṛṣi the supposed compiler of Mhbhr son of Parāśara and Satyavatī father of Śuka and with the wives of Vicitravīrya of Dhṛtarāṣṭra Pāṇḍu and Vidura his proper name is Kṛṣṇa and on account of his being born on an island  he is called Dvaipāyana  and Kṛṣṇa Dvaipāyana  he arranged the Vedas .      .    .  When Satyavatī plied her boat on the Yamunā the ṛṣi Parāśara engaged in a tīrthayātrā enveloped the whole region and obtained her love by promising that she should nevertheless retain her virginity and causing her to emit a sweet scent to the distance of a yojana whence she was named Gandhavatī or Yojanagandhā. On that very day she brought forth Kṛṣṇa surnamed Dvaipāyana because he was born on an island  in the Yamunā and Vyāsa because he arranged  the Vedas. He set his mind on ascetism and went away saying to his mother as soon as remembered by thee shall appear . . taught Sumantu Jaimini Paila his own son Śuka and Vaiśampāyana the Vedas of which the Mhbhr. was the fifth one and the texts of the Bhārata were published by each of them separately. .  . .   .   . . .  After the śrāddha of Pāṇḍu was over fore boding the destruction of the Kauravas prevailed upon Satyavatī that she with Ambikā and Kausalyā  retired to the forest to practise yoga. There they practised severe austerities and at last died . b .     .   . . .   .     . b . .   . .               .      .  . . .     .           .  . b from that arose Śuka Āraṇeya   . b . .    . b . b .    . b .    ...ena kathitaṃ .  . c .
Vyūḍhoraska,son of,Dhṛtarāṣṭra,Vyūḍhoraska son of Dhṛtarāṣṭra . Cf. next.
Vyūḍhoru,son of,Dhṛtarāṣṭra,Vyūḍhoru son of Dhṛtarāṣṭra  .
Yaśodhara,son of,Kṛṣṇa,Yaśodhara son of Kṛṣṇa and Rukmiṇī .
Yadu1,son of,Yayāti,Yadu1 son of Yayāti and ancestor of the Yadus         . b . e . b . Cf. Daivayāneya.
Yati1,son of,Nahuṣa,Yati1 son of Nahuṣa .
Yaudheya,son of,Yudhiṣṭhira,Yaudheya son of Yudhiṣṭhira and Devikā .
