head,relation,tail,text
satyavat1,son of,dyumatsena,"satyavat1, son of dyumatsena and husband of saavitri."
satyavrata2,son of,dhritaraashtra,"satyavrata2, a son of dhritaraashtra."
saubhara,son of,varcas,"saubhara, name of a fire, son of varcas."
shishupaala,son of,damaghosha,"krishna related when shishupaala, the son of damaghosha, had been slain, his brother, the maarttikaa vata king shaalva, in order to avenge him, came to dvaarakaa in the saubha, who moved at will and slew many of the vrishnis, and sought for krishna desiring to kill him."
savana,son of,bhrigu,"savana, a son of bhrigu."
sayana,son of,vishvaamitra,"sayana, son of vishvaamitra."
senaani,son of,dhritaraashtra,"senaani, a son of dhritaraashtra."
senaapati1,son of,dhritaraashtra,"senaapati1, a son of dhritaraashtra."
shanda,son of,dhritaraashtra,"shanda, a son of dhritaraashtra."
sindhudvipa,son of,jahnu,"sindhudvipa, an ancient king, son of jahnu."
senaapati,son of,svaahaa,"skanda1, the senaapati of the gods, son of agni and svaahaa, reared by the krittikaas, armed with a dart  and having a peacock  for his device."
kaarttikeya,son of,adbhuta,"maarkandeya promised to tell the story of kaarttikeya, the son of adbhuta, begotten of the wives of the brahmarshis."
somashravas,son of,shrutashravas,"somashravas, a brahman, son of shrutashravas."
somaka,son of,sahadeva,"somaka, an ancient king, son of sahadeva."
somakirti,son of,dhritaraashtra,"somakirti, a son of dhritaraashtra."
stambamitra,son of,mandapala,"stambamitra, a shaarngaka, son of mandapala and jaritaa."
stambamitra,son of,jaritaa,"stambamitra, a shaarngaka, son of mandapala and jaritaa."
sthuna2,son of,vishvaamitra,"sthuna2, a son of vishvaamitra."
subaahu4,son of,dhritaraashtra,"subaahu4, son of dhritaraashtra."
sucaaru1,son of,rakmini,"sucaaru1, son of krishna and rakmini."
sucaaru2,son of,dhritaraashtra,"sucaaru2, son of dhritaraashtra."
sucetas,son of,gritsamada,"sucetas, a brahman, son of gritsamada."
sucitra3,son of,dhritaraashtra,"sucitra3, son of dhritaraashtra."
sushruta,son of,vishvaamitra,"sushruta, a son of vishvaamitra."
sudarsha2,son of,dhritaraashtra,"sudarsha2, a son of dhritaraashtra."
sudarshana7,son of,dhritaraashtra,"sudarshana7, son of dhritaraashtra."
sudarshana1,son of,sudarcanaa,"sudarshana1, son of agni and sudarcanaa."
sudyumna,son of,manu,"sudyumna, an ancient king, son of manu vaivasvata."
suhasta,son of,dhritaraashtra,"suhasta, son of dhritaraashtra."
suhavis,son of,bhumanyu,"suhavis, son of bhumanyu."
suhotra1,son of,bhumanyu,"suhotra1, an ancient king, son of bhumanyu."
suhotra2,son of,sahadeva,"suhotra2, son of sahadeva paandava."
suhotri,son of,bhumanyu,"suhotri, son of bhumanyu."
sujaata,son of,dhritaraashtra,"sujaata, son of dhritaraashtra."
cyavana,son of,the maharshi,"lomasha related when cyavana, the son of the maharshi bhrigu practised austerities by the side of this lake, and, assuming the posture virasthaana, had been enveloped by an anthill, king sharyaati came to the lake with his, wives and his only daughter sukanyaa."
suketu3,son of,citraketu,"suketu3, son of citraketu."
sukundala,son of,dhritaraashtra,"sukundala, a son of dhritaraashtra."
sulocana1,son of,dhritaraashtra,"sulocana1, a son of dhritaraashtra."
sumukha4,son of,dhritaraashtra,"sumukha4, son of dhritaraashtra."
sunaabha1,son of,dhritaraashtra,"sunaabha1, a son of dhritaraashtra."
sunaaman1,son of,suketu,"sunaaman1, son of suketu."
sunitha5,son of,jaambavati,"sunitha5, son of krishna and jaambavati."
surakrit,son of,vishvaamitra,"surakrit, son of vishvaamitra."
suratha6,son of,drupada,"suratha6, a son of drupada."
suratha8,son of,jayadratha,"suratha8, son of jayadratha."
sushena3,son of,the elder parikshit,"sushena3, son of the elder parikshit."
sushena5,son of,jamadagni,"sushena5, son of jamadagni."
sushena8,son of,karna,"sushena8, son of karna."
suta3,son of,vishvaamitra,"suta3, son of vishvaamitra."
sutasoma,son of,bhimasena,"sutasoma, son of bhimasena  and draupadi."
sutasoma,son of,draupadi,"sutasoma, son of bhimasena  and draupadi."
suti,son of,vishvaamitra,"suti, son of vishvaamitra."
suvarcas1,son of,dhritaraashtra,"suvarcas1, son of dhritaraashtra."
karandhama,son of,khaninetra,"suvarcas8 = karandhama, son of khaninetra."
suvarman1,son of,dhritaraashtra,"suvarman1, son of dhritaraashtra."
suvarnaabha,son of,shankhapada,"suvarnaabha, son of shankhapada."
suvarnashthivin,son of,srinjaya,"suvarnashthivin, son of srinjaya."
suyajus,son of,bhumanyu,"suyajus, son of bhumanyu."
taadakaayana,son of,vishvaamitra,"taadakaayana, a son of vishvaamitra."
tejeyu,son of,raudraashva,"tejeyu, son of raudraashva."
vishvarupa,son of,tvashtri,"trishiras = vishvarupa, the son of tvashtri."
turvasu,son of,yayaati,"turvasu, son of yayaati and devayaani."
turvasu,son of,devayaani,"turvasu, son of yayaati and devayaani."
tvashtaadhara,son of,shukra,"tvashtaadhara, a son of shukra."
uccaishravas2,son of,avikshit,"uccaishravas2, son of avikshit."
udaapekshin,son of,vishvaamitra,"udaapekshin, a son of vishvaamitra."
ugra1,son of,dhritaraashtra,"ugra1, a son of dhritaraashtra."
ugra3,son of,kavi,"ugra3, a son of kavi."
ugrashravas1,son of,lomaharshana,"ugrashravas1, son of lomaharshana and generally named  sauti, who recited the mhbhr."
ugrashravas2,son of,dhritaraashtra,"ugrashravas2, a son of dhritaraashtra."
ugrasena4,son of,dhritaraashtra,"ugrasena4, a son of dhritaraashtra."
ugrasena5,son of,the elder parikshit,"ugrasena5, son of the elder parikshit."
ugrayaayin,son of,dhritaraashtra,"ugrayaayin, a son of dhritaraashtra."
ugraayudha1,son of,dhritaraashtra,"ugraayudha1, a son of dhritaraashtra."
ujjayana,son of,vishvaamitra,"ujjayana, a son of vishvaamitra."
uluka1,son of,shakuni,"uluka1, kaitavya, son of shakuni."
upacitra,son of,dhritaraashtra,"upacitra, a son of dhritaraashtra."
upagahana,son of,vishvaamitra,"upagahana, son of vishvaamitra."
upananda2,son of,dhritaraashtra,"upananda2, a son of dhritaraashtra."
upanandaka1,son of,dhritaraashtra,"upanandaka1, a son of dhritaraashtra."
urjayoni,son of,vishvaamitra,"urjayoni, a son of vishvaamitra."
urnanaabha,son of,dhritaraashtra,"urnanaabha, a son of dhritaraashtra."
utathya,son of,angiras,"utathya, a rishi, son of angiras."
uttara1,son of,viraata,"uttara1, son of viraata."
vaahuli,son of,vishvaamitra,"vaahuli, a son of vishvaamitra."
vairaata,son of,dhritaraashtra,"vairaata, a son of dhritaraashtra."
vajra1,son of,vishvaamitra,"vajra1, son of vishvaamitra."
vajrashirsha,son of,bhrigu,"vajrashirsha, a son of bhrigu."
praagjyotisha,son of,bhagadatta,"vajradatta, king of praagjyotisha, the son of bhagadatta."
vakshogriva,son of,vishvaamitra,"vakshogriva, son of vishvaamitra."
valgujangha,son of,vishvaamitra,"valgujangha, a son of vishvaamitra."
varcas3,son of,sucetas,"varcas3, son of sucetas."
varcasvin1,son of,varcas,"varcasvin1, son of varcas."
varishtha2,son of,manu,"varishtha2, son of manu caakshusha."
vasaati1,son of,the elder janamejaya,"vasaati1, son of the elder janamejaya."
vasu4,son of,jamadagni,"vasu4, son of jamadagni."
vasudeva,son of,shura,"vasudeva, son of shura, husband of devaki, etc father of krishna, etc."
vaataghna,son of,vishvaamitra,"vaataghna, a son of vishvaamitra."
vaatavega1,son of,dhritaraashtra,"vaatavega1, son of dhritaraashtra   ʹ."
vaayubala,son of,mankanaka,"vaayubala, son of mankanaka."
vaayucakra,son of,mankanaka,"vaayucakra, son of mankanaka."
vaayuhan,son of,mankanaka,"vaayuhan, son of mankanaka."
vaayujvaala,son of,mankanaka,"vaayujvaala, son of mankanaka."
vaayumandala,son of,mankanaka,"vaayumandala, son of mankanaka."
vaayuretas,son of,mankanaka,"vaayuretas, son of mankanaka."
vaayuvega3,son of,mankanaka,"vaayuvega3, son of mankanaka."
vibhu2,son of,bhrigu,"vibhu2, the sixth son of bhrigu."
vibhuti,son of,vishvaamitra,"vibhuti, son of vishvaamitra."
vicitravirya,son of,shaantanu,"vicitravirya, a king, son of shaantanu and satyavati."
vicitravirya,son of,satyavati,"vicitravirya, a king, son of shaantanu and satyavati."
vishvaamitra,son of,gaadhi,"vishvaamitra, a rishi, son of gaadhi bis."
vishvarupa2,son of,tvashtri,"vishvarupa2, son of tvashtri."
vishvaavasu2,son of,jamadagni,"vishvaavasu2, son of jamadagni."
viduratha1,son of,shubhaangi,"viduratha1, son of kuru and shubhaangi."
vijaya5,son of,dhritaraashtra,"vijaya5, son of dhritaraashtra."
vikarna1,son of,dhritaraashtra,"vikarna1, a son of dhritaraashtra."
vikata1,son of,dhritaraashtra,"vikata1, son of dhritaraashtra."
vikataanana,son of,dhritaraashtra,"vikataanana, son of dhritaraashtra."
vimsha,son of,ikshvaaku,"vimsha, son of ikshvaaku."
vinda3,son of,dhritaraashtra,"vinda3, son of dhritaraashtra."
vira2,son of,dhritaraashtra,"vira2, a son of dhritaraashtra."
virabaahu1,son of,dhritaraashtra,"virabaahu1, son of dhritaraashtra."
viraaja,son of,avikshit,"viraaja, son of avikshit."
virajas2,son of,dhritaraashtra,"virajas2, son of dhritaraashtra."
virajas3,son of,naaraayana,"virajas3, a spiritual son of naaraayana."
virajas4,son of,kavi,"virajas4, son of kavi."
viraavin,son of,dhritaraashtra,"viraavin, a son of dhritaraashtra."
virocana2,son of,dhritaraashtra,"virocana2, a son of dhritaraashtra."
virupa3,son of,angiras,"virupa3, son of angiras."
shula,son of,kashyapa,"s incarnations are the following  a boar  yojanas in length  half lion, half man, when he killed the daitya king hiranyakashipu, who attacked him with his shula   the son of kashyapa and aditi, in the form of a dwarf, born, years after the conception, of the hue of rain charged clouds and with bright eyes when he, accompanied by brihaspati, entered the sacrificial assembly of bali, the king of the daanavas, he, in three paces, took in the earth  and gave it to indra  krishna, with conchshell, discus, and mace, aned with the shrivatsa, clad in yellow silken robes, who protects arjuna, riding in the same chariot with him."
vitarka,son of,the elder dhritaraashtra,"vitarka, son of the elder dhritaraashtra."
vitatya,son of,vihavya,"vitatya, a brahman, son of vihavya."
vivimsha1,son of,dhritaraashtra,"vivimsha1, son of dhritaraashtra."
vivimshati,son of,dhritaraashtra,"vivimshati, a son of dhritaraashtra."
vivitsu,son of,dhritaraashtra,"vivitsu, a son of dhritaraashtra."
vrajana,son of,ajamidha,"vrajana, son of ajamidha."
vrindaaraka,son of,dhritaraashtra,"vrindaaraka, a son of dhritaraashtra."
vrishasena3,son of,karna,"vrishasena3, son of karna     ʹ."
mhbhr,son of,paraashara,"vyaasa, a rishi, the supposed compiler of mhbhr son of paraashara and satyavati, father of shuka, and, with the wives of vicitravirya, of dhritaraashtra, paandu, and vidura his proper name is krishna, and on account of his being born on an island  he is called dvaipaayana  and krishna dvaipaayana  he arranged the vedas."
mhbhr,son of,satyavati,"vyaasa, a rishi, the supposed compiler of mhbhr son of paraashara and satyavati, father of shuka, and, with the wives of vicitravirya, of dhritaraashtra, paandu, and vidura his proper name is krishna, and on account of his being born on an island  he is called dvaipaayana  and krishna dvaipaayana  he arranged the vedas."
vyudhoraska,son of,dhritaraashtra,"vyudhoraska, son of dhritaraashtra."
vyudhoru,son of,dhritaraashtra,"vyudhoru, son of dhritaraashtra."
yashodhara,son of,rukmini,"yashodhara, son of krishna and rukmini."
yadu1,son of,yayaati,"yadu1, son of yayaati and ancestor of the yadus."
yama1,son of,vivasvat,"yama1, lord of the spirits of the dead, son of vivasvat, often identified with dharma."
yamaduta,son of,vishvaamitra,"yamaduta, a son of vishvaamitra."
yati1,son of,nahusha,"yati1, son of nahusha."
yati2,son of,vishvaamitra,"yati2, a son of vishvaamitra."
yaudheya,son of,yudhishthira,"yaudheya, son of yudhishthira and devikaa."
yaudheya,son of,devikaa,"yaudheya, son of yudhishthira and devikaa."
yauyudhaani,son of,saatyaki,"yauyudhaani, son of saatyaki."
yavakrita,son of,bharadvaaja,"yavakrita, a rishi, son of bharadvaaja."
yayaati,son of,nahusha,"yayaati, an ancient king, son of nahusha  bis."
ajaatashatru,son of,paandu,"yudhishthira paandava, also named ajaatashatru and dharmaraaja, eldest son of paandu and kunti."
ajaatashatru,son of,kunti,"yudhishthira paandava, also named ajaatashatru and dharmaraaja, eldest son of paandu and kunti."
yuyutsu,son of,dhritaraashtra,"yuyutsu, son of dhritaraashtra and a vaishyaa among eleven sons of dhritaraashtra who are mahaarathasamshaavat."
uttaraa,daughter of,king viraata,"after the elapse of the exile he joins the paandavas in upaplavya with krishna and subhadraa, and is there married to uttaraa, daughter of king viraata."
ambaa,daughter of,the king of kaashi,"ambaa, the eldest daughter of the king of kaashi, chosen by the saubha king, carried off by bhishma to be married to vicitravirya, but released refused by the saubha king, etc reborn as shikhandin."
aarushi,daughter of,manu,"cyavanas wife was aarushi, daughter of manu their son aurva came out ripping open the thigh of aarushi."
surabhi,daughter of,daksha,"he explained to him why kine have descended to earth in days of yore, when in the deva yuga the daanavas became lords of the three worlds, aditi underwent the severest austerities  and begot vishnu seeing aditi perform penances, surabhi, the daughter of daksha, also underwent austerities on kailaasa, in yoga, standing upon one leg for, years  ri and m."
arcismati,daughter of,angiras,"arcismati, a daughter of angiras."
citraangadaa,daughter of,citravaahana,"citraangadaa, daughter of citravaahana and mother of babhru vaahana    in the encounter between arjuna and babhruvaahana both fell n in a swoon."
shaci,daughter of,puloman,"shaci, the queen of indra, daughter of puloman and mother of jayanta."
shakuntalaa,daughter of,vishvaamitra,"shakuntalaa, daughter of vishvaamitra and menakaa, wife of dushyanta, and mother of bharata."
shakuntalaa,daughter of,menakaa,"shakuntalaa, daughter of vishvaamitra and menakaa, wife of dushyanta, and mother of bharata."
shakuntalaa,daughter of,vishvaamitra,"shakuntalopaakhyaana, episode relating to shakun talaa dushyanta  saw shakuntalaa, daughter of vishvaamitra  and menakaa."
shakuntalaa,daughter of,menakaa,"shakuntalopaakhyaana, episode relating to shakun talaa dushyanta  saw shakuntalaa, daughter of vishvaamitra  and menakaa."
shaantaa,daughter of,the anga,"shaantaa, daughter of the anga king lomapaada and wife of rishyashringa."
shraddhaa,daughter of,daksha,"shraddhaa, daughter of daksha and wife of dharma."
shraddhaa,daughter of,vivasvat,"shraddhaa, daughter of vivasvat."
shrutaavati,daughter of,bharadvaaja,"shrutaavati, daughter of bharadvaaja."
daityasenaa,daughter of,prajaapati,"daityasenaa, daughter of prajaapati and sister of devasenaa."
danaayus,daughter of,daksha,"danaayus, daughter of daksha and wife of kashyapa."
devaki,daughter of,devaka,"devaki, daughter of devaka, wife of vasudeva, and mother of krishna."
devayaani,daughter of,ushanas,"devayaani, daughter of ushanas  and wife of yayaati."
diti,daughter of,daksha,"diti, the daughter of daksha, the wife of kashyapa and mother of the daityas."
dushalaa,daughter of,dhritaraashtra,"dushalaa, daughter of dhritaraashtra and gaandhari."
dushalaa,daughter of,gaandhari,"dushalaa, daughter of dhritaraashtra and gaandhari."
suvarna,daughter of,the muni harimedhas,"garuda mentioned the remarkable subjects and occurrences of the west varunas origin his instalment by kashyapa the moon, quaffing all the six juices of varuna, becomes young again in the beginning of the bright fortnight the daityas being routed and bound fast by vaayu the mountain asta night and sleep shakra beholding the goddess  diti asleep, and cutting off her fœtus, whence sprang the maruts the roots of himavat stretching towards the eternal mandara, the end of which is not to be reached by journeying for even, years surabhi milking on the shores of the lake with golden lotuses in the midst of the ocean the headless trunk of svarbhaanu the chanting of the vedas by suvarna shiras  dhvajavati, the daughter of the muni harimedhas, remaining in the air in consequence of suryas injunction, stay."
gunakeshi,daughter of,maatali,"gunakeshi, the daughter of maatali."
hamsi,daughter of,bhagiratha,"hamsi, a daughter of bhagiratha."
hamsikaa,daughter of,surabhi,"hamsikaa, a celestial cow, daughter of surabhi."
hari,daughter of,krodhavashaa,"hari, a daughter of krodhavashaa."
havishmati,daughter of,angiras,"havishmati, a daughter of angiras."
ilaa,daughter of,manu,"ilaa, the daughter of manu vaivasvata and the mother of pururavas."
indrasenaa,daughter of,nala,"indrasenaa, the daughter of nala and damayanti."
indrasenaa,daughter of,damayanti,"indrasenaa, the daughter of nala and damayanti."
indrasenaa,daughter of,naaraayana,"indrasenaa, the daughter of naaraayana and the wife of mudgala."
vapushtamaa,daughter of,the kaashi king suvarnavarman,"j the minor son of parikshit, is made king and married to vapushtamaa, the daughter of the kaashi king suvarnavarman."
jvaalaa,daughter of,takshaka,"jvaalaa, daughter of takshaka."
kadru,daughter of,daksha,"kadru, daughter of daksha, wife of kashyapa, and mother of the serpents."
kaalaa,daughter of,daksha,"kaalaa, daughter of daksha and wife of kashyapa."
kaamaa,daughter of,prithushravas,"kaamaa, daughter of prithushravas and wife of ayutanaayin."
kapilaa,daughter of,daksha,"kapilaa, daughter of daksha and wife of kashyapa."
kriyaa,daughter of,daksha,"kriyaa, daughter of daksha and wife of dharma."
krodhaa,daughter of,daksha,"krodhaa, daughter of daksha."
kunti,daughter of,shura,"kunti, daughter of shura, ated by kuntibhoja, by surya mother of karna, wife of paandu, and mother of yudhishthira, bhimasena, and arjuna her proper name was prithaa."
maadhavi,daughter of,yayaati,"maadhavi, daughter of yayaati."
mahaamati,daughter of,angiras,"mahaamati, a daughter of angiras."
mahishmati,daughter of,angiras,"mahishmati, daughter of angiras."
manu1,daughter of,praadhaa,"manu1, a daughter of praadhaa and kashyapa."
manu1,daughter of,kashyapa,"manu1, a daughter of praadhaa and kashyapa."
maatangi,daughter of,krodhavashaa,"maatangi, daughter of krodhavashaa, mother of the elephants."
mrigamandaa,daughter of,krodhavashaa,"mrigamandaa, daughter of krodhavashaa."
oghavati,daughter of,oghavat,"oghavati, daughter of oghavat2 and wife of sudarshana."
vidura,daughter of,king devaka,"paarasavi, said of the wife of vidura, the daughter of king devaka."
praadhaa,daughter of,daksha,"praadhaa, daughter of daksha and wife of kashyapa."
praapti2,daughter of,jaraasandha,"praapti2, daughter of jaraasandha and wife of kamsa."
sitaa,daughter of,the videha king janaka,"sitaa, the daughter of the videha king janaka, was created by tvashtri himself to become the wife of raama."
rohini,daughter of,daksha,"rohini, daughter of daksha and wife of soma, also name of a nakshatra."
rohini,daughter of,hiranyakashipu,"rohini, daughter of hiranyakashipu."
satyabhaamaa,daughter of,satraajit,"satyabhaamaa, daughter of satraajit, wife of krishna vaasudeva."
satyavati,daughter of,vasu,"satyavati, daughter of vasu and adrikaa, by paraashara mother of vyaasa, wife of shaantanu and mother of citraangada and vicitraviryasarpasattrakrishnasya."
satyavati,daughter of,adrikaa,"satyavati, daughter of vasu and adrikaa, by paraashara mother of vyaasa, wife of shaantanu and mother of citraangada and vicitraviryasarpasattrakrishnasya."
satyavati,daughter of,gaadhi,"satyavati, daughter of gaadhi and wife of ricika."
saavitri,daughter of,ashvapati,"saavitri, daughter of ashvapati and wife of satyavat."
simhikaa,daughter of,daksha,"simhikaa, daughter of daksha."
sitaa,daughter of,janaka,"sitaa, daughter of janaka, the videha king and wife of raama daasharathi."
svaahaa,daughter of,daksha,"then svaahaa, the daughter of daksha, who had in vain loved agni from her childhood, prevailed upon skanda that she should live for ever with agni, in so far as offerings with mantras to the gods and pitris  should always be coupled with the name of svaahaa."
devasenaa,daughter of,prajaapati,"she told indra that she was devasenaa, daughter of prajaapati, and that her sister daityasenaa had let herself be taken away by keshin from the maanasa mountain, where they used to sport with their female friends with the permission of prajaapati."
subhadraa,daughter of,vasudeva,"subhadraa, daughter of vasudeva, wife of arjuna, and mother of abhimanyu."
subhadraa,daughter of,vasudeva,"some days afterwards a mountain festival of the bhojas, vrishnis, and andhakas was held on the raivataka mountain there haladhara  with revati, followed by gandharvas, king ugrasena, with his wives, raukmineya, shaamba, akrura, saarana, gada, babhru, viduratha, nishatha, caarudeshna, prithu, viprithu, satyaka, saatyaki, bhangakaara, mahaarava, haardikya, uddhava, etc were present arjuna fell in love with subhadraa, the favourite daughter of vasudeva, the sister of krishna, and uterine sister of saarana."
subhagaa,daughter of,praadhaa,"subhagaa, an apsaras, daughter of praadhaa."
sudarshanaa,daughter of,king duryodhana of maahishmati,"sudarshanaa, daughter of king duryodhana of maahishmati and the river narmadaa."
oghavati,daughter of,king oghavat,"sudarshana married oghavati, the daughter of king oghavat and the sister of ogharatha, and dwelt in kurukshetra he took the vow of conquering death by leading the life of a householder."
sujaataa,daughter of,uddaalaka,"sujaataa, daughter of uddaalaka, wife of kaoda, and mother of ashtaavakra."
sukanyaa,daughter of,sharyaati,"sukanyaa, daughter of sharyaati and wife of cyavana."
sukumaari,daughter of,srinjaya,"sukumaari, daughter of srinjaya."
sunandaa,daughter of,sarvasena,"sunandaa, daughter of sarvasena, wife of bharata."
sunithaa,daughter of,mrityu,"sunithaa, daughter of mrityu."
suprabhaa,daughter of,vadaanya,"suprabhaa, daughter of vadaanya."
sutanu,daughter of,aahuka,"sutanu, daughter of aahuka."
suvarnaa,daughter of,ikshvaaku,"suvarnaa, daughter of ikshvaaku."
suyajnaa,daughter of,prasenajit,"suyajnaa, a princess, daughter of prasenajit."
umaa,daughter of,himavat,"umaa, a goddess, daughter of himavat, wife of shiva."
uttaraa,daughter of,viraata,"uttaraa, daughter of viraata, wife of abhimanyu, mother of parikshit."
varaangi,daughter of,drishadvat,"varaangi, a princess, daughter of drishadvat and wife of samyaati."
vaarkshi,daughter of,a muni,"vaarkshi, a daughter of a muni."
vishvaa,daughter of,daksha,"vishvaa, daughter of daksha and wife of kashyapa."
vimalaa,daughter of,surabhi,"vimalaa, daughter of surabhi."
vinataa,daughter of,daksha,"vinataa, daughter of daksha and wife of kashyapa, mother of the vainateyas, i."
devayaani,daughter of,ushanas,"his wives were devayaani, daughter of ushanas, and sharmishthaa he roved through the celestial woods, at last he installed  puru on the throne and retired into the forest."
bharadvaaja,husband of,kripi,"drona, the preceptor of the dhaartaraashtras and the paandavas, dhrishtadyumna, etc son of bharadvaaja, husband of kripi, and father of ashvatthaaman."
dyumatsena,husband of,shaibyaa,"dyumatsena, king of the shaalvas, husband of shaibyaa, and father of satyavat."
parikshit,husband of,vapushtamaa,"janamejaya1, son of parikshit and maadravati, and the husband of vapushtamaa at his snake sacrifice vaishampaayana recited the mhbhr."
rishi,husband of,jaratkaaru,"jaratkaaru1, a rishi, husband of jaratkaaru and father of aastika."
kalmaashapaada,husband of,madayanti,"kalmaashapaada, saudaasa, king of ayodhyaa and husband of madayanti."
vasudeva,husband of,rukmini,"krishna1, son of vasudeva and devaki, husband of rukmini, etc and father of pradyumna, shaamba, etc a prince of the daashaarhas, considered as an avataara of vishnu, the supreme god."
vasudeva,husband of,etc,"krishna1, son of vasudeva and devaki, husband of rukmini, etc and father of pradyumna, shaamba, etc a prince of the daashaarhas, considered as an avataara of vishnu, the supreme god."
kubera,husband of,riddhi,"kubera, the lord of riches, regent of the northern quarter, king of the guhyakas, raakshasas, and yakshas, husband of riddhi."
virasena,husband of,damayanti,"nala1, king of the nishadhas, son of virasena, and husband of damayanti."
dasharatha,husband of,sitaa,"raama2 daasharathi, king of ayodhyaa, son of dasharatha and husband of sitaa bis."
riksha,husband of,tapati,"samvarana, a king, son of riksha, husband of tapati, and father of kuru."
dyumatsena,husband of,saavitri,"satyavat1, son of dyumatsena and husband of saavitri."
vasudeva,husband of,devaki,"vasudeva, son of shura, husband of devaki, etc father of krishna, etc."
viraata,husband of,sudeshnaa,"viraata, king of the matsyas, husband of sudeshnaa, father of  shankha, uttara, and uttaraa."
vashishtha,wife of,kalmaashapaada,"ashmaka1, a raajarshi, son of vashishtha and madayanti, the wife of kalmaashapaada."
ashmaki,wife of,king praacinvat,"ashmaki, a yaadavi, the wife of king praacinvat and mother of samyaati."
adrishyanti,wife of,shaktri,"adrishyanti, wife of shaktri  and daughter in law of vasishtha, and mother of paraashara."
ahalyaa,wife of,the rishi,"ahalyaa, the wife of the rishi gautama."
tvaashtri,wife of,savitri,"tvaashtri, the wife of savitri, in the form of a mare, gave birth to the ashvins in the skies."
amritaa,wife of,anashvan,"amritaa, a maagadha princess, wife of anashvan."
anantaa,wife of,purus son,"anantaa, a maadhava princess, wife of purus son janamejaya."
aangi,wife of,ariha,"aangi, an ancient queen, wife of ariha and mother of mahaabhauma."
arundhati,wife of,vasishtha,"arundhati, the wife of vasishtha  b, a."
abaned,wife of,atri,"b, the wife of atri abaned her husband and sought the protection of mahaa deva, who granted her that she should obtain a son without atri."
shaibyaa,wife of,sagara,"shaibyaa, wife of sagara."
shaibyaa,wife of,dyumatsena,"shaibyaa, wife of dyumatsena."
shakuntalaa,wife of,dushyanta,"shakuntalaa, daughter of vishvaamitra and menakaa, wife of dushyanta, and mother of bharata."
maadri,wife of,paandu,"shalya, king of the madras, brother of maadri, the wife of paandu, and father of rukmaratha                                                ʹ."
shaantaa,wife of,rishyashringa,"shaantaa, daughter of the anga king lomapaada and wife of rishyashringa."
shatashirshaa,wife of,vaasuki,"shatashirshaa, wife of vaasuki, king of the serpents."
shataparvaa,wife of,shukra,"shataparvaa, the wife of shukra."
shivaa,wife of,the vasu,"shivaa, wife of the vasu anila."
shivaa,wife of,angiras,"shivaa, wife of angiras."
vijayaa,wife of,bhumanyu,"daashaarhi  = vijayaa, wife of bhumanyu."
sudevaa,wife of,vikunthana,"daashaarhi  = sudevaa, wife of vikunthana."
damayanti,wife of,nala,"damayanti, daughter of the vidarbha king bhima, wife of nala and mother of indrasena and indrasenaa."
danaayus,wife of,kashyapa,"danaayus, daughter of daksha and wife of kashyapa."
devaka,wife of,vasudeva,"devaki, daughter of devaka, wife of vasudeva, and mother of krishna."
devayaani,wife of,yayaati,"devayaani, daughter of ushanas  and wife of yayaati."
devikaa,wife of,yudhishthira,"devikaa, wife of yudhishthira."
satyaa,wife of,shamyu,"dharmajaa  = satyaa, the wife of shamyu."
dhumini,wife of,ajamidha,"dhumini, wife of ajamidha."
dhumornaa,wife of,maarkandeya,"dhumornaa, wife of maarkandeya."
braahmani,wife of,dirghatamas,"the wife of dirghatamas was a braahmani, pradveshi by name."
daksha,wife of,kashyapa,"diti, the daughter of daksha, the wife of kashyapa and mother of the daityas."
draupadi,wife of,the paandavas,"draupadi, the wife of the paandavas."
gandaa,wife of,the shudra pashusakha,"gandaa, the wife of the shudra pashusakha."
gaandhaari,wife of,dhritaraashtra1,"gaandhaari, the daughter of the gaandhaara king subala, the wife of dhritaraashtra1, and the mother of duryodhana, etc."
gaandhaari,wife of,ajamidha,"gaandhaari, wife of ajamidha."
ghritaaci,wife of,pramati,"ghritaaci, an apsaras, wife of pramati."
girikaa,wife of,vasu,"girikaa, the wife of vasu uparicara."
haimavati,wife of,kaushika,"haimavati, the wife of kaushika."
naaraayana,wife of,mudgala,"indrasenaa, the daughter of naaraayana and the wife of mudgala."
jaratkaaru2,wife of,jaratkaaru,"jaratkaaru2, sister of vaasuki, the king of serpents, wife of jaratkaaru, and mother of aastika."
jaritaa,wife of,mandapaala,"jaritaa, a shaarngikaa, wife of mandapaala."
balandharaa,wife of,bhimasena,"kaashyaa  = balandharaa, the wife of bhimasena."
kadru,wife of,kashyapa,"kadru, daughter of daksha, wife of kashyapa, and mother of the serpents."
sunandaa,wife of,sarvabhauma,"kaikeyi  = sunandaa, the wife of sarvabhauma."
kaikeyi,wife of,ajamidha,"kaikeyi, wife of ajamidha."
kumaari,wife of,bhimasena,"kaikeyi = kumaari, the wife of bhimasena paarikshita."
kaikeyi,wife of,dasharatha,"kaikeyi, wife of dasharatha."
sudeshnaa,wife of,viraata,"kaikeyi = sudeshnaa, the wife of viraata."
kaalaa,wife of,kashyapa,"kaalaa, daughter of daksha and wife of kashyapa."
satyavati,wife of,shaantanu,"kaali = satyavati, the wife of shaantanu."
kaamaa,wife of,ayutanaayin,"kaamaa, daughter of prithushravas and wife of ayutanaayin."
kapilaa,wife of,kashyapa,"kapilaa, daughter of daksha and wife of kashyapa."
